add, 100, 101, 102, 103, 104, 105, 106
add, 200, 201, 202, 203, 204, 205, 206
add, 300, 301, 302, 303, 304, 305, 306
add, 400, 401, 402, 403, 404, 405, 406
add, 500, 501, 502, 503, 504, 505, 506
add, 600, 601, 602, 603, 604, 605, 606
add, 700, 701, 702, 703, 704, 705, 706
add, 800, 801, 802, 803, 804, 805, 806
add, 900, 901, 902, 903, 904, 905, 906
add, 1000, 1001, 1002, 1003
add, 1100, 1101, 1102, 1103
add, 1200, 1201, 1202, 1203
add, 1300, 1301, 1302, 1303
add, 1400, 1401, 1402, 1403
add, 1500, 1501, 1502, 1503
add, 1600, 1601, 1602, 1603
add, 1700, 1703, 1702, 1701
add, 19000, 19001, 19002, 19003
read, 300
read, 1900
read, 1401
delete, 200
add, 1800, 1801, 1802, 1803

